anixter international 
api technologies 
apricus biosciences
american homes 
ametek
arthur j. 
alliance healthcare 
alliance holdings 
agco corporation
aerie pharmaceuticals
ares commercial 
abeona therapeutics 
western alliance 
syngenta ag
a. schulman
northern oil 
healthcare trust 
g-iii apparel 
famous dave's 
cpi aerostructures
alon blue 
homeaway
actuant corporation
ascent solar 
approach resources
alexandria real 
ansys
american national 
amarantus bioscience 
alere 
aixtron se
albany international 
aspen insurance 
argan
aegon n.v.
adtran
adamas pharmaceuticals
axcelis technologies
asbury automotive 
china zenix 
nuveen new 
kapstone paper 
hollysys automation 
group 1 
enersis am?ricas 
b/e aerospace
axalta coating 
american states 
armstrong world 
aveo pharmaceuticals
au optronics 
autohome 
america first 
avino silver 
archrock
anworth mortgage 
alexander's
amn healthcare 
alamos gold 
aercap holdings 
adams resources 
roche holding 
aratana therapeutics
oil-dri corporation 
nordic american 
kar auction 
houston american 
aerohive networks
fresenius medical 
amdocs limited
corecivic
azure midstream 
axis capital 
american axle 
avalon holdings 
avid technology
ascena retail 
on assignment
ardelyx
accuray incorporated
aquinox pharmaceuticals
alpha pro 
applied dna 
ambac financial 
allegiant travel 
alon usa 
applied industrial 
air methods 
altra industrial 
american equity 
aehr test 
alcobra ltd.
acura pharmaceuticals
acadia healthcare 
atlantic coast 
acco brands 
atlantica yield 
travelcenters of 
retail properties 
manhattan associates
lamar advertising 
kayne anderson 
aoxing pharmaceutical 
astronics corporation
atn international
arc group 
american public 
ampco-pittsburgh corporation
anika therapeutics
angiodynamics
apollo residential 
amsurg 
allied motion 
antero midstream 
autoliv
analogic corporation
acadia realty 
aegion corporation
adidas ag
zeltiq aesthetics
world acceptance 
amerco
united states 
sonic automotive
republic airways 
natural alternatives 
aquentium
a.m. castle 
credit acceptance 
air transport 
american science 
associated banc-corp
arotech corporation
arrow financial 
arcbest corporation
a-mark precious 
alarm.com holdings
ashford hospitality 
agile therapeutics
almost family
adcare health 
american capital 
autobytel 
abengoa sa
ambev 
cambium learning 
applied optoelectronics
universal stainless 
state auto 
extended stay 
origin agritech 
reinsurance group 
industrial services 
harvard apparatus 
aberdeen chile 
china eastern 
craft brew 
amrep corporation
avg technologies 
american vanguard 
audiocodes ltd.
atrion corporation
atossa genetics 
arc document 
apigee corporation
alpha and 
alliance one 
american woodmark 
alexza pharmaceuticals 
ally financial 
air industries 
alliance fiber 
arch capital 
acorn energy
arbor realty 
ameris bancorp
silvercrest asset 
resource america
freightcar america
northstar asset 
ag mortgage 
advent/claymore enhanced 
hannon armstrong 
gol linhas 
gildan activewear 
wells fargo 
atento 
aptargroup
actinium pharmaceuticals
astrotech corporation
grupo aeroportuario 
ardmore shipping 
artesian resources 
argos therapeutics
alpine total 
agnc investment 
aduro biotech
acnb corporation
advantage oil 
american assets 
china southern 
universal american 
nippon telegraph 
allianzgi nfj 
alliant energy 
kaiser aluminum 
home bancshares 
western asset 
first american 
first acceptance 
entertainment gaming 
china automotive 
blackrock energy 
amplify snack 
aurinia pharmaceuticals 
acorn international
atlanticus holdings 
asterias biotherapeutics
ari network 
appliance recycling 
apple hospitality 
sphere 3d 
ani pharmaceuticals
american software
amerisafe
allot communications 
akari therapeutics, 
agilysys
applied genetic 
american financial 
adidas ag
avalanche biotechnologies
wesco aircraft 
altisource residential 
brasilagro - 
latam airlines 
micron solutions
western asset 
ellsworth growth 
digital ally
credit suisse 
blackrock enhanced 
china gerui 
calamos dynamic 
china advanced 
the stars 
aware
aviva plc 
aviat networks
atrm holdings
appfolio
affirmative insurance 
albany molecular 
airmedia group 
andatee china 
altair nanotechnologies
allegion plc
aerojet rocketdyne 
armada hoffler 
federal agricultural 
argo group 
athens bancshares 
aep industries 
adma biologics
anchor bancorp 
atlantic american 
telecom argentina 
silver run 
sino-global shipping 
grupo aeroportuario 
north american 
allianzgi convertible 
western asset 
marine harvest 
jaguar health
aberdeen israel 
western asset 
the asia 
aberdeen asia-pacific 
reed elsevier 
amcon distributing 
america's car-mart
cresud sociedad 
china green 
morgan stanley 
atara biotherapeutics
a10 networks
alphatec holdings
aralez pharmaceuticals 
american railcar 
aradigm corporation
ares dynamic 
arc logistics 
digital turbine
ampliphi biosciences 
aegean marine 
american national 
anadigics
achaogen
agora holdings
american electric 
aegon n.v.
adeptus health 
adamis pharmaceuticals 
aclaris therapeutics
american campus 
abeona therapeutics 
alcentra capital 
rex american 
grupo aeroportuario 
navios maritime 
national american 
voya global 
helios and 
german american 
wells fargo 
ambassadors group 
caesars acquisition 
british american 
axion power 
alliancebernstein global 
avx corporation
asure software
assembly biosciences
asta funding
ascent capital 
aristocrat group 
ares management
vereit
aqua metals
anchor bancorp
ameresco
am?rica m�vilb. 
asanko gold 
american financial 
aerocentury 
active power
arca biopharma
aac holdings
lehman abs 
controladora vuela 
thred limited
atlassian corporation 
sorl auto 
new england 
nuveen amt-free 
lmi aerospace
aberdeen japan 
voya global 
voya infrastructure, 
guggenheim taxable 
forward pharma 
evertec
china mobile 
calamos convertible 
dt asia 
blackrock credit 
bayer aktiengesellschaft
alexco resource 
alpine global 
advantest corporation
ata 
arqule
ark restaurants 
american apparel
archrock partners
morgan stanley 
the asia 
american river 
amber road
alcatel-lucent
alliqua biomedical
astronova
akers biosciences
apollo investment 
allied healthcare 
adecoagro 
amtrust financial 
adams diversified 
american dg 
authentidate holding 
adaptimmune therapeutics 
acme united 
actions semiconductor, 
westjet airlines 
volkswagen aktiengesellschaft
turkcell iletisim 
american spectrum 
sinocoking coal 
reinsurance group 
providence and 
u.s. auto 
pope resources, 
adams natural 
oasmia pharmaceutical 
allianzgi convertible 
nuveen build 
north atlantic 
western asset 
western asset 
adesto technologies 
the new 
general american 
wells fargo 
double eagle 
delta apparel
clearbridge american 
brooks automation
advent claymore 
ar capital 
auburn national 
amtech systems
asa gold 
amphastar pharmaceuticals
american independence 
amec foster 
alj regional 
aldeyra therapeutics
avangrid
alpine global 
allied capital 
american financial 
addvantage technologies 
aegon n.v.
advent software
arbutus biopharma 
ablynx nv
atlantic alliance 
travelcenters of 
sears hometown 
rayonier advanced 
republic airways 
phibro animal 
nuveen california 
blackrock muniyield 
affiliated managers 
western asset 
american caresource 
forward air 
first trust 
first trust 
daimler ag
china housing 
china auto 
axovant sciences 
axogen
avianca holdings 
grupo aval 
golden minerals 
atlatsa resources 
ameriserv financial 
ameriserv financial
ameriana bancorp
asb bancorp
art's-way manufacturing
asia pacific 
artisan partners 
american shared 
amb financial 
american lorain 
agrofresh solutions
american financial 
aethlon medical
audience
allianzgi diversified 
alliancebernstein income 
atlantic capital 
allegiance bancshares
altisource asset 
unico american 
tennessee valley 
tennessee valley 
aberdeen singapore 
surgical care 
harrison vickers 
om asset 
national storage 
nuveen georgia 
nuveen quality 
mtge investment 
motorcar parts 
cohen & 
nuveen real 
j. alexander's 
aberdeen indonesia 
guggenheim credit 
aberdeen emerging 
auris medical 
airbus se
western asset 
delaware enhanced 
allianz se
alderon iron 
axt
avexis
aurico gold 
attunity ltd.
ames national 
astec industries
ascendis pharma 
american realty 
aptose biosciences 
aemetis
alliance california 
air liquide, 
argo group 
affimed n.v.
affymax
alliancebernstein national 
anadarko petroleum 
adept technology 
ability 
aoxin tianli 
western asset/claymore 
ag&e holdings 
compaϭa de 
inca minerals 
western asset 
arcadia biosciences
cohen & 
nuveen arizona 
western asset 
western asset 
drillsearch energy, 
nuveen tax-advantaged 
infinity property 
aberdeen australia 
voya asia 
gcp applied 
fortress transportation 
fntcu
first trust 
aberdeen global 
western asset 
entergy arkansas 
daimler ag
quintain estates 
calamos convertible 
the central 
0
blackrock utility 
axsome therapeutics
anoteros 
american caresource 
alteva
alanco technologies
akzo nobel 
embotelladora andina 
great ajax 
agnc investment 
aflac incorporated
atlas financial 
the american 
avenue income 
arbor realty 
celsius resources 
western copper 
columbia funds 
octanex n.l.
cabral resources 
panhandle oil 
nuveen california 
kayne anderson 
klr energy 
nuveen core 
corporate backed 
corporate backed 
igz (listing 
western asset 
appalachian mountain 
inspired entertainment
gluskin sheff 
agria corporation
global partner 
goldman sachs 
electrum special 
eagle growth 
dynasil corporation 
charlemagne capital 
capitol acquisition 
clearbridge all 
blackrock long-term 
global brass 
boulevard acquisition 
boulevard acquisition 
the stars 
allegheny valley 
axar acquisition 
atlantic power 
asm international 
astika holdings
aruba networks
petrogas company
american realty 
amsurg 
ameri holdings
altex industries
altagas ltd.
asanko gold 
apollo investment 
airbus se
aimmune therapeutics
apollo tactical 
applied energetics
aegon n.v.
advaxis
accelerize 
barrick gold 
advanced battery 
advanced accelerator 
aeon (m) 
western asset/claymore 
western asset 
invesco advantage 
vealls limited
0
yatra online
saker aviation 
lmp capital 
relx group 
roi acquisition 
0
quinpario acquisition 
american leisure 
petrobras argentina 
western asset 
pan american 
origin energy 
nuveen dividend 
nord anglia 
nuveen municipal 
nuveen california 
nabriva therapeutics 
moog 
pioneer municipal 
the latin 
jensyn acquisition 
nuveen preferred 
corporate backed 
0
hydra industries 
0
gt advanced 
gpiaw
the gabelli 
garnero group 
aberdeen greater 
global-tech advanced 
fintech acquisition 
ubs ag 
eaton vance 
western asset 
entergy arkansas
diversified real 
delphi financial 
delaware investments 
lehman abs 
axa sa
origo acquisition 
china liaoning 
boulevard acquisition 
barington/hilco acquisition 
blackrock enhanced 
bombardier 
brookfield asset 
avenue financial 
avalon rare 
avalon advanced 
athabasca oil 
liberty all-star 
ares capital 
aquila resources 
australia and 
anthem
perusahaan perseroan 
amanasu techno 
alpha natural 
andina acquisition 
alternet systems
alstom sa
alliance bioenergy 
alliance bancorp 
air t
arlington asset 
affirmative insurance 
aberdeen asset 
associated capital 
accor sa
anheuser-busch inbev 
qs energy
xrf scientific 
woolworths limited
wirecard ag
waterco limited
ab volvo 
terrapin 3 
tortoise power 
analytica bio 
siemens aktiengesellschaft
sundance energy 
roi acquisition 
roi acquisition 
quinpario acquisition 
qbe insurance 
arcan resources 
pacific special 
orbite technologies 
nuveen municipal 
nuveen california 
nuveen amt-free 
nuveen amt-free 
allianzgi equity 
mountain high 
arcelormittal
maiden holdings 
medtech global 
aberdeen latin 
kayne anderson 
industrial alliance 
ms structured 
clough global 
ubs ag 
wangle technologies 
electrum special 
easterly acquisition 
cb pharma 
cambridge capital 
brambles limited
bhp billiton 
axion power 
aviva plc
actelion ltd
ats automation 
aspen aerogels
pt astra 
0
american riviera 
advanced oxygen 
avalon oil 
allianz se
allied resources
pt akr 
embotelladora andina 
ashford
agrium 
agfsw
affinity mediaworks 
american farmland 
advanced environmental 
aegon n.v.
futureland 
alaris royalty 
accelera innovations, 
abtech holdings
ambase corporation
almaden minerals 
ardentec corporation
titanium sands 
world reach 
travelcenters of 
travelcenters of 
santos limited
millennium investment 
sino mercury 
western asset 
argex titanium 
axxess pharma
prime acquisition 
nordea bank 
newhaven hotels 
neon capital 
nido petroleum 
macquarie group 
ubs etracs 
maiden holdings 
maiden holdings 
mariner corporation 
k2 energy 
kairiki energy 
argent energy 
nuveen diversified 
impact minerals 
stop sleep 
information analysis 
hennessy advisors
hennessy capital 
cabco series 
gray television
gp investments 
garnero group 
garnero group 
western asset 
western asset 
fifth street 
farmers & 
fiat chrysler 
e-compass acquisition 
double eagle 
double eagle 
dais analytic 
ceres global 
cambridge capital 
buymyplace.com.au limited
barington/hilco acquisition 
pt bank 
av therapeutics
advanced voice 
avinger
auxilio
aurcana corporation
americas united 
atomic paintball
astea international 
alimentation couche-tard 
advansource biomaterials 
asics corporation
arc resources 
arowana 
arch therapeutics
american retail 
pt pacific 
andina acquisition 
alternaturals
amplitech group
armanino foods 
apollo medical 
ambow education 
allbanc split 
aker solutions
ashtead group 
koninklijke ahold 
amtrust financial 
ag growth 
american financial 
air france-klm 
audioeye
aerogrow international
advant-e 
arch coal 
air canada
auburn bancorp
zyl.ax
the alkaline 
woodside petroleum 
world.net services 
wihlborgs fastigheter 
whitehaven coal 
wesfarmers limited
wds limited
the waterberg 
vestas wind 
alexandria advantage 
ab volvo 
venture minerals 
viking mines 
ucw limited
tz limited
town and 
transat at
telstra corporation 
tiger oil 
thin film 
southern cross 
caervision global
statoil asa
cord blood 
sino mercury 
signal advance
svenska cellulosa 
st andrew 
sas ab 
roche holding 
rezidor hotel 
rea group 
ritchie bros. 
strategic asset 
peer review 
vbps.vi
north american 
tian an 
proact it 
pacific special 
chun can 
nuveen new 
neptune marine 
nex metals 
norsk hydro 
northern iron 
nuveen build 
north american 
national australia 
macdonald, dettwiler 
l e 
lonza group 
lm funding 
lazard global 
leaf resources 
living cell 
lindsay australia 
lojas americanas 
korvest ltd
kip mcgrath 
keybridge capital 
nuveen all 
invision aktiengesellschaft
integrated research 
the governor 
integrity applications
ibo (listing 
alamo energy 
haldex ab 
hills limited
hydra industries 
hennessy capital 
health advance 
gp investments 
gpacw
gildan activewear 
garnero group 
western asset 
the gabelli 
future healthcare 
rib software 
a1 group
fintech acquisition 
first national 
first advantage 
energy services 
ab electrolux 
east capital 
e-compass acquisition 
eacqw
entergy arkansas
golden agri-resources 
deutsche telekom 
danske bank 
daybreak oil 
computershare limited
cromwell property 
united american 
clas ohlson 
capitol acquisition 
china education 
commonwealth bank 
carlsberg a/s
dt asia 
growmax resources 
billerudkorsn?s ab 
bharti airtel 
barington/hilco acquisition 
b&b tools 
billabong international 
bayer aktiengesellschaft
bank of 
astrazeneca plc
alterra power 
axesstel 
axion international 
axfood ab
axa sa
aura systems
alimentation couche-tard 
avatar ventures 
grupo aeroportuario 
asml holding 
ashok leyland 
ash grove 
american crystal 
algonquin power 
african queen 
anglo pacific 
apdnw
petr�leo brasileiro 
american overseas 
anta sports 
ansell limited
alpha network 
ubs etracs 
ampal-american israel 
almaden minerals 
american international 
american business 
ambient corporation
arcam ab 
aly energy 
alseres pharmaceuticals
alr technologies 
ana holdings 
aln.v
alamogordo financial 
diaxonhit
akoustis technologies
agjunction 
aimia 
american heritage 
artisanal brands
angle plc
american graphite 
all energy 
american fiber 
agnico eagle 
adaptive medias
pt adira 
advanced life 
pt adhi 
pt akasha 
autocanada 
acacia diversified 
altapacific bancorp
abakan 
asm pacific
panaust limited
trek metals 
zicom group 
xtreme drilling 
xano industri 
asia training 
wilh. wilhelmsen 
western areas 
worleyparsons limited
westmountain alternative 
white energy 
westpac banking 
westpac banking 
webster limited
wal-mart de 
vestas wind 
sundance resources 
virtus oil 
voltage ip 
vietnam industrial 
viento group 
virgin australia 
ugl limited
united bancorporation 
tpg telecom 
teranga gold 
tassal group 
techniche ltd.
transurban group
transcontinental 
suda limited
software aktiengesellschaft
range resources 
arcis resources 
skf ab
soci?t? internationale 
sandvik ab
rwe aktiengesellschaft
rocket internet 
ramsay health 
regency affiliates 
qantas airways 
all marketing 
parks! america
pilbara minerals 
pets at 
perusahaan perseroan 
pacific special 
oz minerals 
oceanteam asa
ausy sa
orexo ab 
orkla asa
oklo resources 
nsx limited
norma group 
novarise renewable 
north american 
navarre minerals 
myer holdings 
arcelormittal
mt.pa
mq holding 
mortgage choice 
mec resources 
etracs 2xmonthly 
etracs 2xmonthly 
echo resources 
bank of 
lundin petroleum 
chocoladefabriken lindt 
lonestar resources 
lm funding 
london & 
kresta holdings 
koon holdings 
kayne anderson 
0
klr energy 
konekt limited
kinnevik ab
kasbah resources 
jervois mining 
eat at 
octagonal resources 
interoil exploration 
pt bank 
imugene limited
iluka resources 
infineon technologies 
high arctic 
harvey norman 
hispanica international 
power assets 
global partner 
alphabet 
getinge ab
graincorp limited
gateway mining 
great lakes 
gi dynamics
flyht aerospace 
flughafen z�rich 
first farmers 
eldorado artesian 
ekornes asa
soul and 
erste group 
duni ab 
dno asa
bank of 
u.s. aerospace
danske bank 
cisco systems
commerzbank ag
sociedad comercial 
cochlear limited
avalon correctional 
delta technology 
companhia energ?tica 
china gerui 
spectrum rare 
ambicom holdings
coca-cola amatil 
centrale d'achat 
dt asia 
chart acquisition 
borussia dortmund 
blackrock science 
bwin.party digital 
boral limited
banco hipotecario 
bendigo and 
beijer ref 
barclays bank 
brilliance china 
banco bilbao 
grand baoxin 
bayerische motoren 
antares energy 
accsys technologies 
amexdrug 
axim biotechnologies
axia netmedia 
avante sys 
avita medical 
avidbank holdings
fincera 
aurobindo pharma 
axar acquisition 
avesoro resources 
capitaland retail 
abattis bioceuticals 
asx limited
alacer gold 
auscrete corporation
assa abloy 
assicurazioni generali 
arowana 
arowana  
arno therapeutics
argonaut gold 
arkema 
aggreko plc
arex industries 
argonaut gold 
aqualis asa
applied visual 
acasti pharma 
the alpine 
pt agung 
growmax resources 
air new 
andina acquisition 
andina acquisition 
acciona
am?rica m�vilb. 
amerityre corporation
ameritrans capital 
american sands 
american seniors 
amadeus it 
american metals 
amp limited
a.p. m?ller 
armco metals 
american bank 
amarillo biosciences
ama.l
alexandria minerals 
alstom sa
alecto minerals 
actelion ltd
american locker 
alcatel-lucent
arkanova energy 
akita drilling 
aker asa
air liquide, 
acre realty 
atheronova 
athena silver 
logiq asset 
ahold kon
agt food 
anglo american 
federal agricultural 
alamos gold 
agf management 
ageas sa/nv
arendals fossekompani 
alarmforce industries 
andrew peller 
alderon iron 
pt adaro 
alldigital holdings, 
adfitech
a & 
r1 rcm 
accord financial 
allbanc split 
ambev 
abertis infraestructuras
abco energy
all-american sportpark
apple 
apple 
anglo american 
aac technologies 
arak resources 
auric pacific 
airasia berhad
mach7 technologies 
iinet ltd.
zurich insurance 
yancoal australia 
advanced defense 
xtd limited
world titanium 
wheelock and 
westfield corporation 
world assurance 
wcp resources 
webster limited
volkswagen aktiengesellschaft
volkswagen aktiengesellschaft
vealls limited
vbg group 
ultima united 
us select 
united overseas 
uscom limited
universal biosensors
umbra applied 
terramin australia 
treasury wine 
tui ag
cleanaway waste 
topdanmark a/s
toyo tire 
temenos group 
timbercreek financial 
turkiye garanti 
tiger resources 
ten network 
telenor asa
alianza minerals 
american power 
salzgitter aktiengesellschaft
aryx therapeutics
symrise ag
the swatch 
the swatch 
svenska handelsbanken 
storebrand asa
scanship holding 
stellar africagold 
go energy 
buymyplace.com.au limited
sovereign mines 
monarch america
skanska ab 
skanska ab 
smartgroup corporation 
sigma pharmaceuticals 
select harvests 
senetas corporation 
steadfast group 
aib.ir
st barbara 
stada arzneimittel 
straumann holding 
sap se
sanwaria agro 
sai global 
saab ab 
resource base 
rusforest ab 
roche holding 
herm?s international 
red emperor 
roomlinx, prior 
richfield international 
rio tinto 
rigolleau 
rcm-beteiligungsakti
rhi ag
phylogica limited
pt bukit 
passur aerospace
pt summarecon 
petsec energy 
alternative investment 
property management 
perpetual limited
pne wind 
pandora a/s
premier investments 
amfil technologies
altria group
proguard acquisition 
partners group 
aluf holdings
ptt exploration 
peak resources 
paladin energy 
probiotec limited
private bancorp 
payce consolidated 
panoramic resources 
precision auto 
osram licht 
orkla asa
orica limited
aura minerals 
opera software 
opera software 
omv aktiengesellschaft
ofx group 
ovb holding 
novozymes a/s
novozymes a/s
novartis ag
ntm gold 
memphasys limited
nuveen new 
note ab
nordic mines 
nordic semiconductor 
onterran limited
annaly capital 
nickelore limited
nibe industrier 
nib holdings 
nordex se
nuveen new 
global capital 
national australia 
mayne pharma 
anson resources 
m�nchener r�ckversicherungs-gesellschaft 
macquarie atlas 
moly mines 
public joint-stock 
money3 corporation 
maison antoine 
migme limited
morgan advanced 
medistim asa
mandalong resources 
magellan aerospace 
michael anthony 
american biogenetic 
the marketing 
meyer burger 
liontown resources 
leoni ag
linde aktiengesellschaft
lm funding 
lifestyle communities 
lindab international 
ledesma sociedad 
london city 
lbt innovations 
lassonde industries 
grupo lalab. 
anderson energy 
los andes 
mainstreet health 
kuka aktiengesellschaft
ksb aktiengesellschaft
kazakhstan potash 
kalnorth gold 
kgl resources 
kabel deutschland 
kbc advanced 
kromi logistik 
joyce corporation 
ambient water 
jm ab 
tiger airways 
itab shop 
ishares asia 
iss a/s
iproperty group 
ybcc
incitec pivot 
impedimed limited
0
idm international
independence group 
automodular 
integrated asset 
independent alliance 
public joint-stock 
hexagon composites 
hexagon ab
ef hutton 
husqvarna ab 
the hong 
hafslund asa
american premium 
power assets 
high arctic 
hfa holdings 
hexagon ab
henkel ag 
hci grp 
hawthorn resources 
galaxy resources 
gud holdings 
goodman group
0
genmab a/s
g8 education 
geely automobile 
internet america
global construction 
grupo clar�n 
grandbridge limited
gale pacific 
global arena 
gea group 
james fisher 
federal national 
federal national 
fortescue metals 
flyht aerospace 
fingerprint cards 
feelgood svenska 
first american 
experience art 
evotec ag
agriminco 
telefonaktiebolaget lm 
energy revenue 
eco (atlantic) 
energy metals 
elecw
elders limited
efg international 
echoice limited
e-compass acquisition 
ibuynew group 
zyber holdings 
duet group
adf group 
appyea
deutsche post 
domino's pizza 
e. i. 
digital arts 
cyber apps 
cover-more group 
central petroleum 
csl limited
american cryostem 
cp all 
compugroup medical 
coca-cola i?ecek 
concentric ab 
chelsea oil 
0
commonwealth bank 
connacher oil 
0
legend oil 
advanzeon solutions
sky deutschland 
cardno limited
compagnie des 
coca-cola amatil 
commonwealth bank 
cambria automobiles 
ambassadors international 
ca immobilien 
chart acquisition 
bowl america 
bt investment 
base resources 
beach energy 
airboss of 
boom logistics 
byggmax group 
boart longyear 
brickworks limited
bradken limited
blackmores limited
bell financial 
brown-forman corporation
beijer alma 
bba aviation 
bayer aktiengesellschaft
british american 
bayerische motoren 
bluecrest allblue 
tv azteca 
azure holding 
azimut holding 
arizona mining 
aytu bioscience
axxess unlimited
axiata group 
axia netmedia 
axel springer 
axa sa
awilco drilling 
aveva group 
avt
avarae global 
avita medical 
automotive finco 
aurios 
enterra corporation
golden minerals 
rasna therapeutics
altius minerals 
atom energy 
atrium european 
astor explorations 
altovida
atos se
atna resources 
atlas copco 
autogrill s.p.a.
altigen communications
alphaform ag 
atc venture 
altice n.v.
atac resources 
symbility solutions 
atari sa
daniels corporate 
asg group 
gungnir resources 
astaldi s.p.a.
assa abloy 
arista power
aspen group
asm pacific 
american silver 
ashley house 
asetek a/s
ansaldo sts 
associated banc-corp 
aurvista gold 
amerigo resources 
arcelormittal
africa opportunity 
arm holdings 
africo resources 
ar?te industries
aecon group 
aspyra 
aptose biosciences 
applied science 
0
alps electric, 
apptech 
petr�leo brasileiro 
applied materials
ascot resources 
alstom sa
american oriental 
australia and 
antofagasta plc
andrea electronics 
anfield gold 
arena minerals 
amazon.com
amex exploration 
kollakorn corporation 
american tower 
arcelormittal
amanasu environment 
ams ag
applied minerals
ameramex international
american media 
american lithium 
amlin plc
american international 
amgen 
american films
amen properties
amcor limited
ambac financial 
amadeus it 
analytixinsight 
altium limited
altran technologies 
astellas pharma 
alpha bank 
octo technology 
almondz global 
aluminum corporation 
mgi digital 
altice n.v.
allin corporation
allante resources 
actelion ltd
alacer gold 
alfa laval 
cnk global 
alfa, s. 
atlantica inc
alabama power
astellia 
akastor asa
aj lucas 
aja cannafacturing
arlington asset 
aivtech international 
air china 
airware labs 
airports of 
ashford hospitality 
amer homestar 
alibaba group 
american heritage 
anhui conch 
action hotels 
anheuser-busch inbev 
northern sphere 
ageas sa/nv
the lebanese 
aurcrest gold 
aegon n.v.
allergan plc
aldridge minerals 
ainsworth game 
ag growth 
ageas sa/nv
adventure gold
affinity gold 
apollo senior 
afri can 
allied first 
�f ab 
aeterna zentaris 
arsenal energy
arc resources 
arsenal energy 
aedes siiq 
andrew peller 
alliance media 
autodesk
aderans company 
a?roports de 
adinath textiles 
adia nutrition
applied development 
acusphere
acs motion 
asia carbon 
the a2 
acom, ltd.
accordia golf, 
activecare
barrick gold 
ab&t financial 
american brewing 
ashburton ventures 
abb ltd
alabama graphite 
acacia mining 
associated british 
abe resources 
abcam plc
adelaide brighton 
abb ltd
advantage oil 
allied american 
america's suppliers 
amadeus fire 
aberdeen international 
asia broadband
a2a s.p.a.
awc berhad
astino berhad
altice n.v. 
apollo food 
recursos mont
china medical 
malaysia airports 
british american 
leone asset 
asia comm 
0
zinzino ab
